soc_code,preferred_title,classification_level,broader_soc_code
51-9000,Other Production Occupations,minor_group,51-0000
51-9010,"Chemical Processing Machine Setters, Operators, and Tenders",broad_occupation,51-9000
51-9011,Chemical Equipment Operators and Tenders,detailed_occupation,51-9010
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detailed_occupation,51-9010
51-9020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",broad_occupation,51-9000
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detailed_occupation,51-9020
51-9022,"Grinding and Polishing Workers, Hand",detailed_occupation,51-9020
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",detailed_occupation,51-9020
51-9030,Cutting Workers,broad_occupation,51-9000
51-9031,"Cutters and Trimmers, Hand",detailed_occupation,51-9030
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",detailed_occupation,51-9030
51-9040,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",broad_occupation,51-9000
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detailed_occupation,51-9040
51-9050,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",broad_occupation,51-9000
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detailed_occupation,51-9050
51-9060,"Inspectors, Testers, Sorters, Samplers, and Weighers",broad_occupation,51-9000
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed_occupation,51-9060
51-9070,Jewelers and Precious Stone and Metal Workers,broad_occupation,51-9000
51-9071,Jewelers and Precious Stone and Metal Workers,detailed_occupation,51-9070
51-9080,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,broad_occupation,51-9000
51-9081,Dental Laboratory Technicians,detailed_occupation,51-9080
51-9082,Medical Appliance Technicians,detailed_occupation,51-9080
51-9083,Ophthalmic Laboratory Technicians,detailed_occupation,51-9080
51-9110,Packaging and Filling Machine Operators and Tenders,broad_occupation,51-9000
51-9111,Packaging and Filling Machine Operators and Tenders,detailed_occupation,51-9110
51-9120,Painting Workers,broad_occupation,51-9000
51-9123,"Painting, Coating, and Decorating Workers",detailed_occupation,51-9120
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed_occupation,51-9120
51-9140,Semiconductor Processing Technicians,broad_occupation,51-9000
51-9141,Semiconductor Processing Technicians,detailed_occupation,51-9140
51-9150,Photographic Process Workers and Processing Machine Operators,broad_occupation,51-9000
51-9151,Photographic Process Workers and Processing Machine Operators,detailed_occupation,51-9150
51-9160,Computer Numerically Controlled Tool Operators and Programmers,broad_occupation,51-9000
51-9161,Computer Numerically Controlled Tool Operators,detailed_occupation,51-9160
51-9162,Computer Numerically Controlled Tool Programmers,detailed_occupation,51-9160
51-9190,Miscellaneous Production Workers,broad_occupation,51-9000
51-9191,Adhesive Bonding Machine Operators and Tenders,detailed_occupation,51-9190
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detailed_occupation,51-9190
51-9193,Cooling and Freezing Equipment Operators and Tenders,detailed_occupation,51-9190
51-9194,Etchers and Engravers,detailed_occupation,51-9190
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",detailed_occupation,51-9190
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",detailed_occupation,51-9190
51-9197,Tire Builders,detailed_occupation,51-9190
51-9198,Helpers--Production Workers,detailed_occupation,51-9190
51-9199,"Production Workers, All Other",detailed_occupation,51-9190
53-0000,Transportation and Material Moving Occupations,major_group,
53-1000,Supervisors of Transportation and Material Moving Workers,minor_group,53-0000
53-1040,First-Line Supervisors of Transportation and Material Moving Workers,broad_occupation,53-1000
53-1041,Aircraft Cargo Handling Supervisors,detailed_occupation,53-1040
53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",detailed_occupation,53-1040
53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,detailed_occupation,53-1040
53-1044,First-Line Supervisors of Passenger Attendants,detailed_occupation,53-1040
53-1049,"First-Line Supervisors of Transportation Workers, All Other",detailed_occupation,53-1040
53-2000,Air Transportation Workers,minor_group,53-0000
53-2010,Aircraft Pilots and Flight Engineers,broad_occupation,53-2000
53-2011,"Airline Pilots, Copilots, and Flight Engineers",detailed_occupation,53-2010
53-2012,Commercial Pilots,detailed_occupation,53-2010
53-2020,Air Traffic Controllers and Airfield Operations Specialists,broad_occupation,53-2000
53-2021,Air Traffic Controllers,detailed_occupation,53-2020
53-2022,Airfield Operations Specialists,detailed_occupation,53-2020
53-2030,Flight Attendants,broad_occupation,53-2000
53-2031,Flight Attendants,detailed_occupation,53-2030
53-3000,Motor Vehicle Operators,minor_group,53-0000
53-3010,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",broad_occupation,53-3000
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed_occupation,53-3010
53-3030,Driver/Sales Workers and Truck Drivers,broad_occupation,53-3000
53-3031,Driver/Sales Workers,detailed_occupation,53-3030
53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed_occupation,53-3030
53-3033,Light Truck Drivers,detailed_occupation,53-3030
53-3050,Passenger Vehicle Drivers,broad_occupation,53-3000
53-3051,"Bus Drivers, School",detailed_occupation,53-3050
53-3052,"Bus Drivers, Transit and Intercity",detailed_occupation,53-3050
53-3053,Shuttle Drivers and Chauffeurs,detailed_occupation,53-3050
53-3054,Taxi Drivers,detailed_occupation,53-3050
53-3090,Miscellaneous Motor Vehicle Operators,broad_occupation,53-3000
53-3099,"Motor Vehicle Operators, All Other",detailed_occupation,53-3090
53-4000,Rail Transportation Workers,minor_group,53-0000
53-4010,Locomotive Engineers and Operators,broad_occupation,53-4000
53-4011,Locomotive Engineers,detailed_occupation,53-4010
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",detailed_occupation,53-4010
53-4020,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",broad_occupation,53-4000
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",detailed_occupation,53-4020
53-4030,Railroad Conductors and Yardmasters,broad_occupation,53-4000
53-4031,Railroad Conductors and Yardmasters,detailed_occupation,53-4030
53-4040,Subway and Streetcar Operators,broad_occupation,53-4000
53-4041,Subway and Streetcar Operators,detailed_occupation,53-4040
53-4090,Miscellaneous Rail Transportation Workers,broad_occupation,53-4000
53-4099,"Rail Transportation Workers, All Other",detailed_occupation,53-4090
53-5000,Water Transportation Workers,minor_group,53-0000
53-5010,Sailors and Marine Oilers,broad_occupation,53-5000
53-5011,Sailors and Marine Oilers,detailed_occupation,53-5010
53-5020,Ship and Boat Captains and Operators,broad_occupation,53-5000
53-5021,"Captains, Mates, and Pilots of Water Vessels",detailed_occupation,53-5020
53-5022,Motorboat Operators,detailed_occupation,53-5020
53-5030,Ship Engineers,broad_occupation,53-5000
53-5031,Ship Engineers,detailed_occupation,53-5030
53-6000,Other Transportation Workers,minor_group,53-0000
53-6010,Bridge and Lock Tenders,broad_occupation,53-6000
53-6011,Bridge and Lock Tenders,detailed_occupation,53-6010
53-6020,Parking Attendants,broad_occupation,53-6000
53-6021,Parking Attendants,detailed_occupation,53-6020
53-6030,Transportation Service Attendants,broad_occupation,53-6000
53-6031,Automotive and Watercraft Service Attendants,detailed_occupation,53-6030
53-6032,Aircraft Service Attendants,detailed_occupation,53-6030
53-6040,Traffic Technicians,broad_occupation,53-6000
53-6041,Traffic Technicians,detailed_occupation,53-6040
53-6050,Transportation Inspectors,broad_occupation,53-6000
53-6051,Transportation Inspectors,detailed_occupation,53-6050
53-6060,Passenger Attendants,broad_occupation,53-6000
53-6061,Passenger Attendants,detailed_occupation,53-6060
53-6090,Miscellaneous Transportation Workers,broad_occupation,53-6000
53-6099,"Transportation Workers, All Other",detailed_occupation,53-6090
53-7000,Material Moving Workers,minor_group,53-0000
53-7010,Conveyor Operators and Tenders,broad_occupation,53-7000
53-7011,Conveyor Operators and Tenders,detailed_occupation,53-7010
53-7020,Crane and Tower Operators,broad_occupation,53-7000
53-7021,Crane and Tower Operators,detailed_occupation,53-7020
53-7030,Dredge Operators,broad_occupation,53-7000
53-7031,Dredge Operators,detailed_occupation,53-7030
53-7040,Hoist and Winch Operators,broad_occupation,53-7000
53-7041,Hoist and Winch Operators,detailed_occupation,53-7040
53-7050,Industrial Truck and Tractor Operators,broad_occupation,53-7000
53-7051,Industrial Truck and Tractor Operators,detailed_occupation,53-7050
53-7060,Laborers and Material Movers,broad_occupation,53-7000
53-7061,Cleaners of Vehicles and Equipment,detailed_occupation,53-7060
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",detailed_occupation,53-7060
53-7063,Machine Feeders and Offbearers,detailed_occupation,53-7060
53-7064,"Packers and Packagers, Hand",detailed_occupation,53-7060
53-7065,Stockers and Order Fillers,detailed_occupation,53-7060
53-7070,Pumping Station Operators,broad_occupation,53-7000
53-7071,Gas Compressor and Gas Pumping Station Operators,detailed_occupation,53-7070
53-7072,"Pump Operators, Except Wellhead Pumpers",detailed_occupation,53-7070
53-7073,Wellhead Pumpers,detailed_occupation,53-7070
53-7080,Refuse and Recyclable Material Collectors,broad_occupation,53-7000
53-7081,Refuse and Recyclable Material Collectors,detailed_occupation,53-7080
53-7120,"Tank Car, Truck, and Ship Loaders",broad_occupation,53-7000
53-7121,"Tank Car, Truck, and Ship Loaders",detailed_occupation,53-7120
53-7190,Miscellaneous Material Moving Workers,broad_occupation,53-7000
53-7199,"Material Moving Workers, All Other",detailed_occupation,53-7190
55-0000,Military Specific Occupations,major_group,
55-1000,Military Officer Special and Tactical Operations Leaders,minor_group,55-0000
55-1010,Military Officer Special and Tactical Operations Leaders,broad_occupation,55-1000
55-1011,Air Crew Officers,detailed_occupation,55-1010
55-1012,Aircraft Launch and Recovery Officers,detailed_occupation,55-1010
55-1013,Armored Assault Vehicle Officers,detailed_occupation,55-1010
55-1014,Artillery and Missile Officers,detailed_occupation,55-1010
55-1015,Command and Control Center Officers,detailed_occupation,55-1010
55-1016,Infantry Officers,detailed_occupation,55-1010
55-1017,Special Forces Officers,detailed_occupation,55-1010
55-1019,"Military Officer Special and Tactical Operations Leaders, All Other",detailed_occupation,55-1010
55-2000,First-Line Enlisted Military Supervisors,minor_group,55-0000
55-2010,First-Line Enlisted Military Supervisors,broad_occupation,55-2000
55-2011,First-Line Supervisors of Air Crew Members,detailed_occupation,55-2010
55-2012,First-Line Supervisors of Weapons Specialists/Crew Members,detailed_occupation,55-2010
55-2013,First-Line Supervisors of All Other Tactical Operations Specialists,detailed_occupation,55-2010
55-3000,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,minor_group,55-0000
55-3010,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,broad_occupation,55-3000
55-3011,Air Crew Members,detailed_occupation,55-3010
55-3012,Aircraft Launch and Recovery Specialists,detailed_occupation,55-3010
55-3013,Armored Assault Vehicle Crew Members,detailed_occupation,55-3010
55-3014,Artillery and Missile Crew Members,detailed_occupation,55-3010
55-3015,Command and Control Center Specialists,detailed_occupation,55-3010
55-3016,Infantry,detailed_occupation,55-3010
55-3018,Special Forces,detailed_occupation,55-3010
55-3019,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",detailed_occupation,55-3010
