soc_code,preferred_title,classification_level,broader_soc_code
47-2050,"Cement Masons, Concrete Finishers, and Terrazzo Workers",broad_occupation,47-2000
47-2051,Cement Masons and Concrete Finishers,detailed_occupation,47-2050
47-2053,Terrazzo Workers and Finishers,detailed_occupation,47-2050
47-2060,Construction Laborers,broad_occupation,47-2000
47-2061,Construction Laborers,detailed_occupation,47-2060
47-2070,Construction Equipment Operators,broad_occupation,47-2000
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",detailed_occupation,47-2070
47-2072,Pile Driver Operators,detailed_occupation,47-2070
47-2073,Operating Engineers and Other Construction Equipment Operators,detailed_occupation,47-2070
47-2080,"Drywall Installers, Ceiling Tile Installers, and Tapers",broad_occupation,47-2000
47-2081,Drywall and Ceiling Tile Installers,detailed_occupation,47-2080
47-2082,Tapers,detailed_occupation,47-2080
47-2110,Electricians,broad_occupation,47-2000
47-2111,Electricians,detailed_occupation,47-2110
47-2120,Glaziers,broad_occupation,47-2000
47-2121,Glaziers,detailed_occupation,47-2120
47-2130,Insulation Workers,broad_occupation,47-2000
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",detailed_occupation,47-2130
47-2132,"Insulation Workers, Mechanical",detailed_occupation,47-2130
47-2140,Painters and Paperhangers,broad_occupation,47-2000
47-2141,"Painters, Construction and Maintenance",detailed_occupation,47-2140
47-2142,Paperhangers,detailed_occupation,47-2140
47-2150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",broad_occupation,47-2000
47-2151,Pipelayers,detailed_occupation,47-2150
47-2152,"Plumbers, Pipefitters, and Steamfitters",detailed_occupation,47-2150
47-2160,Plasterers and Stucco Masons,broad_occupation,47-2000
47-2161,Plasterers and Stucco Masons,detailed_occupation,47-2160
47-2170,Reinforcing Iron and Rebar Workers,broad_occupation,47-2000
47-2171,Reinforcing Iron and Rebar Workers,detailed_occupation,47-2170
47-2180,Roofers,broad_occupation,47-2000
47-2181,Roofers,detailed_occupation,47-2180
47-2210,Sheet Metal Workers,broad_occupation,47-2000
47-2211,Sheet Metal Workers,detailed_occupation,47-2210
47-2220,Structural Iron and Steel Workers,broad_occupation,47-2000
47-2221,Structural Iron and Steel Workers,detailed_occupation,47-2220
47-2230,Solar Photovoltaic Installers,broad_occupation,47-2000
47-2231,Solar Photovoltaic Installers,detailed_occupation,47-2230
47-3000,"Helpers, Construction Trades",minor_group,47-0000
47-3010,"Helpers, Construction Trades",broad_occupation,47-3000
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",detailed_occupation,47-3010
47-3012,Helpers--Carpenters,detailed_occupation,47-3010
47-3013,Helpers--Electricians,detailed_occupation,47-3010
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",detailed_occupation,47-3010
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",detailed_occupation,47-3010
47-3016,Helpers--Roofers,detailed_occupation,47-3010
47-3019,"Helpers, Construction Trades, All Other",detailed_occupation,47-3010
47-4000,Other Construction and Related Workers,minor_group,47-0000
47-4010,Construction and Building Inspectors,broad_occupation,47-4000
47-4011,Construction and Building Inspectors,detailed_occupation,47-4010
47-4020,Elevator and Escalator Installers and Repairers,broad_occupation,47-4000
47-4021,Elevator and Escalator Installers and Repairers,detailed_occupation,47-4020
47-4030,Fence Erectors,broad_occupation,47-4000
47-4031,Fence Erectors,detailed_occupation,47-4030
47-4040,Hazardous Materials Removal Workers,broad_occupation,47-4000
47-4041,Hazardous Materials Removal Workers,detailed_occupation,47-4040
47-4050,Highway Maintenance Workers,broad_occupation,47-4000
47-4051,Highway Maintenance Workers,detailed_occupation,47-4050
47-4060,Rail-Track Laying and Maintenance Equipment Operators,broad_occupation,47-4000
47-4061,Rail-Track Laying and Maintenance Equipment Operators,detailed_occupation,47-4060
47-4070,Septic Tank Servicers and Sewer Pipe Cleaners,broad_occupation,47-4000
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,detailed_occupation,47-4070
47-4090,Miscellaneous Construction and Related Workers,broad_occupation,47-4000
47-4091,Segmental Pavers,detailed_occupation,47-4090
47-4099,"Construction and Related Workers, All Other",detailed_occupation,47-4090
47-5000,Extraction Workers,minor_group,47-0000
47-5010,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",broad_occupation,47-5000
47-5011,"Derrick Operators, Oil and Gas",detailed_occupation,47-5010
47-5012,"Rotary Drill Operators, Oil and Gas",detailed_occupation,47-5010
47-5013,"Service Unit Operators, Oil and Gas",detailed_occupation,47-5010
47-5020,Surface Mining Machine Operators and Earth Drillers,broad_occupation,47-5000
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",detailed_occupation,47-5020
47-5023,"Earth Drillers, Except Oil and Gas",detailed_occupation,47-5020
47-5030,"Explosives Workers, Ordnance Handling Experts, and Blasters",broad_occupation,47-5000
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",detailed_occupation,47-5030
47-5040,Underground Mining Machine Operators,broad_occupation,47-5000
47-5041,Continuous Mining Machine Operators,detailed_occupation,47-5040
47-5043,"Roof Bolters, Mining",detailed_occupation,47-5040
47-5044,"Loading and Moving Machine Operators, Underground Mining",detailed_occupation,47-5040
47-5049,"Underground Mining Machine Operators, All Other",detailed_occupation,47-5040
47-5050,"Rock Splitters, Quarry",broad_occupation,47-5000
47-5051,"Rock Splitters, Quarry",detailed_occupation,47-5050
47-5070,"Roustabouts, Oil and Gas",broad_occupation,47-5000
47-5071,"Roustabouts, Oil and Gas",detailed_occupation,47-5070
47-5080,Helpers--Extraction Workers,broad_occupation,47-5000
47-5081,Helpers--Extraction Workers,detailed_occupation,47-5080
47-5090,Miscellaneous Extraction Workers,broad_occupation,47-5000
47-5099,"Extraction Workers, All Other",detailed_occupation,47-5090
49-0000,"Installation, Maintenance, and Repair Occupations",major_group,
49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",minor_group,49-0000
49-1010,"First-Line Supervisors of Mechanics, Installers, and Repairers",broad_occupation,49-1000
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed_occupation,49-1010
49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",minor_group,49-0000
49-2010,"Computer, Automated Teller, and Office Machine Repairers",broad_occupation,49-2000
49-2011,"Computer, Automated Teller, and Office Machine Repairers",detailed_occupation,49-2010
49-2020,Radio and Telecommunications Equipment Installers and Repairers,broad_occupation,49-2000
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",detailed_occupation,49-2020
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",detailed_occupation,49-2020
49-2090,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",broad_occupation,49-2000
49-2091,Avionics Technicians,detailed_occupation,49-2090
49-2092,"Electric Motor, Power Tool, and Related Repairers",detailed_occupation,49-2090
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",detailed_occupation,49-2090
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed_occupation,49-2090
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed_occupation,49-2090
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",detailed_occupation,49-2090
49-2097,Audiovisual Equipment Installers and Repairers,detailed_occupation,49-2090
49-2098,Security and Fire Alarm Systems Installers,detailed_occupation,49-2090
49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",minor_group,49-0000
49-3010,Aircraft Mechanics and Service Technicians,broad_occupation,49-3000
49-3011,Aircraft Mechanics and Service Technicians,detailed_occupation,49-3010
49-3020,Automotive Technicians and Repairers,broad_occupation,49-3000
49-3021,Automotive Body and Related Repairers,detailed_occupation,49-3020
49-3022,Automotive Glass Installers and Repairers,detailed_occupation,49-3020
49-3023,Automotive Service Technicians and Mechanics,detailed_occupation,49-3020
49-3030,Bus and Truck Mechanics and Diesel Engine Specialists,broad_occupation,49-3000
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detailed_occupation,49-3030
49-3040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,broad_occupation,49-3000
49-3041,Farm Equipment Mechanics and Service Technicians,detailed_occupation,49-3040
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detailed_occupation,49-3040
49-3043,Rail Car Repairers,detailed_occupation,49-3040
49-3050,Small Engine Mechanics,broad_occupation,49-3000
49-3051,Motorboat Mechanics and Service Technicians,detailed_occupation,49-3050
49-3052,Motorcycle Mechanics,detailed_occupation,49-3050
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,detailed_occupation,49-3050
49-3090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",broad_occupation,49-3000
49-3091,Bicycle Repairers,detailed_occupation,49-3090
49-3092,Recreational Vehicle Service Technicians,detailed_occupation,49-3090
49-3093,Tire Repairers and Changers,detailed_occupation,49-3090
49-9000,"Other Installation, Maintenance, and Repair Occupations",minor_group,49-0000
49-9010,Control and Valve Installers and Repairers,broad_occupation,49-9000
49-9011,Mechanical Door Repairers,detailed_occupation,49-9010
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",detailed_occupation,49-9010
49-9020,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",broad_occupation,49-9000
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detailed_occupation,49-9020
49-9030,Home Appliance Repairers,broad_occupation,49-9000
49-9031,Home Appliance Repairers,detailed_occupation,49-9030
49-9040,"Industrial Machinery Installation, Repair, and Maintenance Workers",broad_occupation,49-9000
49-9041,Industrial Machinery Mechanics,detailed_occupation,49-9040
49-9043,"Maintenance Workers, Machinery",detailed_occupation,49-9040
49-9044,Millwrights,detailed_occupation,49-9040
49-9045,"Refractory Materials Repairers, Except Brickmasons",detailed_occupation,49-9040
49-9050,Line Installers and Repairers,broad_occupation,49-9000
49-9051,Electrical Power-Line Installers and Repairers,detailed_occupation,49-9050
49-9052,Telecommunications Line Installers and Repairers,detailed_occupation,49-9050
49-9060,Precision Instrument and Equipment Repairers,broad_occupation,49-9000
49-9061,Camera and Photographic Equipment Repairers,detailed_occupation,49-9060
49-9062,Medical Equipment Repairers,detailed_occupation,49-9060
49-9063,Musical Instrument Repairers and Tuners,detailed_occupation,49-9060
49-9064,Watch and Clock Repairers,detailed_occupation,49-9060
49-9069,"Precision Instrument and Equipment Repairers, All Other",detailed_occupation,49-9060
49-9070,"Maintenance and Repair Workers, General",broad_occupation,49-9000
49-9071,"Maintenance and Repair Workers, General",detailed_occupation,49-9070
49-9080,Wind Turbine Service Technicians,broad_occupation,49-9000
49-9081,Wind Turbine Service Technicians,detailed_occupation,49-9080
49-9090,"Miscellaneous Installation, Maintenance, and Repair Workers",broad_occupation,49-9000
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",detailed_occupation,49-9090
49-9092,Commercial Divers,detailed_occupation,49-9090
49-9094,Locksmiths and Safe Repairers,detailed_occupation,49-9090
49-9095,Manufactured Building and Mobile Home Installers,detailed_occupation,49-9090
49-9096,Riggers,detailed_occupation,49-9090
49-9097,Signal and Track Switch Repairers,detailed_occupation,49-9090
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",detailed_occupation,49-9090
49-9099,"Installation, Maintenance, and Repair Workers, All Other",detailed_occupation,49-9090
51-0000,Production Occupations,major_group,
51-1000,Supervisors of Production Workers,minor_group,51-0000
51-1010,First-Line Supervisors of Production and Operating Workers,broad_occupation,51-1000
51-1011,First-Line Supervisors of Production and Operating Workers,detailed_occupation,51-1010
51-2000,Assemblers and Fabricators,minor_group,51-0000
51-2010,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",broad_occupation,51-2000
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detailed_occupation,51-2010
51-2020,"Electrical, Electronics, and Electromechanical Assemblers",broad_occupation,51-2000
51-2021,"Coil Winders, Tapers, and Finishers",detailed_occupation,51-2020
51-2022,Electrical and Electronic Equipment Assemblers,detailed_occupation,51-2020
51-2023,Electromechanical Equipment Assemblers,detailed_occupation,51-2020
51-2030,Engine and Other Machine Assemblers,broad_occupation,51-2000
51-2031,Engine and Other Machine Assemblers,detailed_occupation,51-2030
51-2040,Structural Metal Fabricators and Fitters,broad_occupation,51-2000
51-2041,Structural Metal Fabricators and Fitters,detailed_occupation,51-2040
51-2050,Fiberglass Laminators and Fabricators,broad_occupation,51-2000
51-2051,Fiberglass Laminators and Fabricators,detailed_occupation,51-2050
51-2060,Timing Device Assemblers and Adjusters,broad_occupation,51-2000
51-2061,Timing Device Assemblers and Adjusters,detailed_occupation,51-2060
51-2090,Miscellaneous Assemblers and Fabricators,broad_occupation,51-2000
51-2092,Team Assemblers,detailed_occupation,51-2090
51-2099,"Assemblers and Fabricators, All Other",detailed_occupation,51-2090
51-3000,Food Processing Workers,minor_group,51-0000
51-3010,Bakers,broad_occupation,51-3000
51-3011,Bakers,detailed_occupation,51-3010
51-3020,"Butchers and Other Meat, Poultry, and Fish Processing Workers",broad_occupation,51-3000
51-3021,Butchers and Meat Cutters,detailed_occupation,51-3020
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",detailed_occupation,51-3020
51-3023,Slaughterers and Meat Packers,detailed_occupation,51-3020
51-3090,Miscellaneous Food Processing Workers,broad_occupation,51-3000
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detailed_occupation,51-3090
51-3092,Food Batchmakers,detailed_occupation,51-3090
51-3093,Food Cooking Machine Operators and Tenders,detailed_occupation,51-3090
51-3099,"Food Processing Workers, All Other",detailed_occupation,51-3090
51-4000,Metal Workers and Plastic Workers,minor_group,51-0000
51-4020,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",broad_occupation,51-4000
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed_occupation,51-4020
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",detailed_occupation,51-4020
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detailed_occupation,51-4020
51-4030,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",broad_occupation,51-4000
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed_occupation,51-4030
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed_occupation,51-4030
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed_occupation,51-4030
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed_occupation,51-4030
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed_occupation,51-4030
51-4040,Machinists,broad_occupation,51-4000
51-4041,Machinists,detailed_occupation,51-4040
51-4050,"Metal Furnace Operators, Tenders, Pourers, and Casters",broad_occupation,51-4000
51-4051,Metal-Refining Furnace Operators and Tenders,detailed_occupation,51-4050
51-4052,"Pourers and Casters, Metal",detailed_occupation,51-4050
51-4060,"Model Makers and Patternmakers, Metal and Plastic",broad_occupation,51-4000
51-4061,"Model Makers, Metal and Plastic",detailed_occupation,51-4060
51-4062,"Patternmakers, Metal and Plastic",detailed_occupation,51-4060
51-4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",broad_occupation,51-4000
51-4071,Foundry Mold and Coremakers,detailed_occupation,51-4070
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed_occupation,51-4070
51-4080,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",broad_occupation,51-4000
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed_occupation,51-4080
51-4110,Tool and Die Makers,broad_occupation,51-4000
51-4111,Tool and Die Makers,detailed_occupation,51-4110
51-4120,"Welding, Soldering, and Brazing Workers",broad_occupation,51-4000
51-4121,"Welders, Cutters, Solderers, and Brazers",detailed_occupation,51-4120
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed_occupation,51-4120
51-4190,Miscellaneous Metal Workers and Plastic Workers,broad_occupation,51-4000
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed_occupation,51-4190
51-4192,"Layout Workers, Metal and Plastic",detailed_occupation,51-4190
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed_occupation,51-4190
51-4194,"Tool Grinders, Filers, and Sharpeners",detailed_occupation,51-4190
51-4199,"Metal Workers and Plastic Workers, All Other",detailed_occupation,51-4190
51-5100,Printing Workers,minor_group,51-0000
51-5110,Printing Workers,broad_occupation,51-5100
51-5111,Prepress Technicians and Workers,detailed_occupation,51-5110
51-5112,Printing Press Operators,detailed_occupation,51-5110
51-5113,Print Binding and Finishing Workers,detailed_occupation,51-5110
51-6000,"Textile, Apparel, and Furnishings Workers",minor_group,51-0000
51-6010,Laundry and Dry-Cleaning Workers,broad_occupation,51-6000
51-6011,Laundry and Dry-Cleaning Workers,detailed_occupation,51-6010
51-6020,"Pressers, Textile, Garment, and Related Materials",broad_occupation,51-6000
51-6021,"Pressers, Textile, Garment, and Related Materials",detailed_occupation,51-6020
51-6030,Sewing Machine Operators,broad_occupation,51-6000
51-6031,Sewing Machine Operators,detailed_occupation,51-6030
51-6040,Shoe and Leather Workers,broad_occupation,51-6000
51-6041,Shoe and Leather Workers and Repairers,detailed_occupation,51-6040
51-6042,Shoe Machine Operators and Tenders,detailed_occupation,51-6040
51-6050,"Tailors, Dressmakers, and Sewers",broad_occupation,51-6000
51-6051,"Sewers, Hand",detailed_occupation,51-6050
51-6052,"Tailors, Dressmakers, and Custom Sewers",detailed_occupation,51-6050
51-6060,"Textile Machine Setters, Operators, and Tenders",broad_occupation,51-6000
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,detailed_occupation,51-6060
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",detailed_occupation,51-6060
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detailed_occupation,51-6060
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detailed_occupation,51-6060
51-6090,"Miscellaneous Textile, Apparel, and Furnishings Workers",broad_occupation,51-6000
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",detailed_occupation,51-6090
51-6092,Fabric and Apparel Patternmakers,detailed_occupation,51-6090
51-6093,Upholsterers,detailed_occupation,51-6090
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",detailed_occupation,51-6090
51-7000,Woodworkers,minor_group,51-0000
51-7010,Cabinetmakers and Bench Carpenters,broad_occupation,51-7000
51-7011,Cabinetmakers and Bench Carpenters,detailed_occupation,51-7010
51-7020,Furniture Finishers,broad_occupation,51-7000
51-7021,Furniture Finishers,detailed_occupation,51-7020
51-7030,"Model Makers and Patternmakers, Wood",broad_occupation,51-7000
51-7031,"Model Makers, Wood",detailed_occupation,51-7030
51-7032,"Patternmakers, Wood",detailed_occupation,51-7030
51-7040,"Woodworking Machine Setters, Operators, and Tenders",broad_occupation,51-7000
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed_occupation,51-7040
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed_occupation,51-7040
51-7090,Miscellaneous Woodworkers,broad_occupation,51-7000
51-7099,"Woodworkers, All Other",detailed_occupation,51-7090
51-8000,Plant and System Operators,minor_group,51-0000
51-8010,"Power Plant Operators, Distributors, and Dispatchers",broad_occupation,51-8000
51-8011,Nuclear Power Reactor Operators,detailed_occupation,51-8010
51-8012,Power Distributors and Dispatchers,detailed_occupation,51-8010
51-8013,Power Plant Operators,detailed_occupation,51-8010
51-8020,Stationary Engineers and Boiler Operators,broad_occupation,51-8000
51-8021,Stationary Engineers and Boiler Operators,detailed_occupation,51-8020
51-8030,Water and Wastewater Treatment Plant and System Operators,broad_occupation,51-8000
51-8031,Water and Wastewater Treatment Plant and System Operators,detailed_occupation,51-8030
51-8090,Miscellaneous Plant and System Operators,broad_occupation,51-8000
51-8091,Chemical Plant and System Operators,detailed_occupation,51-8090
51-8092,Gas Plant Operators,detailed_occupation,51-8090
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detailed_occupation,51-8090
51-8099,"Plant and System Operators, All Other",detailed_occupation,51-8090
